day,asset,selfPrice,avgPrice,pnlPer,pnl
1,bonds,44,49.43375,-5.433750000000003,190.18125000000012
2,bonds,65,62.24,2.759999999999998,190.43999999999986
3,bonds,53,54.505,-1.5050000000000026,-102.34000000000017
4,bonds,45,47.99875,-2.998750000000001,230.9037500000001
5,bonds,38,47.65625,-9.65625,-1197.375
6,bonds,56,58.0975,-2.0974999999999966,-148.92249999999976
7,bonds,37,32.72,4.280000000000001,-389.48000000000013
8,bonds,46,45.5325,0.46750000000000114,21.505000000000052
9,bonds,63,53.0425,9.957500000000003,-587.4925000000002
10,bonds,41,44.5775,-3.5775000000000006,-42.93000000000001
11,bonds,46,42.1275,3.8725000000000023,-189.7525000000001
12,bonds,36,50.9525,-14.9525,-403.71750000000003
13,bonds,41,62.8775,-21.877499999999998,415.67249999999996
14,bonds,49,40.1,8.899999999999999,35.599999999999994
15,bonds,57,53.5625,3.4375,110.0
16,bonds,58,59.63875,-1.6387500000000017,13.110000000000014
17,bonds,35,44.15125,-9.151249999999997,237.93249999999995
18,bonds,43,49.62125,-6.621250000000003,-52.97000000000003
19,bonds,47,53.16,-6.159999999999997,-61.599999999999966
20,bonds,37,47.6175,-10.6175,-201.7325
21,bonds,40,43.405,-3.405000000000001,51.07500000000002
22,bonds,36,53.75375,-17.753749999999997,106.52249999999998
23,bonds,50,50.83375,-0.833750000000002,-59.19625000000014
24,bonds,57,50.095,6.905000000000001,331.44000000000005
25,bonds,56,56.8775,-0.8774999999999977,-35.97749999999991
26,bonds,47,55.07625,-8.076250000000002,339.2025000000001
27,bonds,35,47.82125,-12.82125,628.2412499999999
28,bonds,54,55.74375,-1.7437499999999986,-139.4999999999999
29,bonds,62,58.64875,3.3512500000000003,33.5125
30,bonds,43,56.56,-13.560000000000002,-474.6000000000001
1,options,313,277.42,35.579999999999984,-1707.8399999999992
2,options,268,325.04,-57.04000000000002,-2452.7200000000007
3,options,361,305.345,55.65499999999997,2059.2349999999988
4,options,388,323.395,64.60500000000002,4393.140000000001
5,options,227,288.77,-61.76999999999998,5868.149999999998
6,options,270,286.8875,-16.88749999999999,-911.9249999999994
7,options,329,336.5775,-7.577499999999986,-219.7474999999996
8,options,356,363.94,-7.939999999999998,1008.3799999999997
9,options,339,297.665,41.33499999999998,5042.869999999997
10,options,234,316.365,-82.36500000000001,-4118.25
11,options,332,276.7725,55.22750000000002,1767.2800000000007
12,options,292,275.8375,16.162500000000023,371.7375000000005
13,options,324,301.635,22.36500000000001,-134.19000000000005
14,options,358,297.7825,60.21749999999997,2228.0474999999988
15,options,260,299.2525,-39.2525,-2983.1899999999996
16,options,226,325.56,-99.56,-99.56
17,options,217,267.915,-50.91500000000002,712.8100000000003
18,options,337,306.13,30.870000000000005,1913.9400000000003
19,options,224,291.025,-67.02499999999998,-2345.874999999999
20,options,246,294.88,-48.879999999999995,-293.28
21,options,247,302.365,-55.36500000000001,4207.740000000001
22,options,282,330.44,-48.44,1162.56
23,options,390,319.915,70.08499999999998,3434.164999999999
24,options,326,275.815,50.185,1806.66
25,options,241,325.1175,-84.1175,84.1175
26,options,236,279.1325,-43.13249999999999,1337.1074999999998
27,options,295,275.055,19.944999999999993,179.50499999999994
28,options,311,264.0425,46.95749999999998,-4085.3024999999984
29,options,381,305.55,75.44999999999999,1735.3499999999997
30,options,333,294.47,38.52999999999997,963.2499999999993
1,stocks,110,135.58375,-25.58375000000001,-127.91875000000005
2,stocks,156,151.495,4.5049999999999955,180.19999999999982
3,stocks,118,142.50875,-24.508749999999992,588.2099999999998
4,stocks,133,145.58375,-12.583750000000009,415.2637500000003
5,stocks,181,143.115,37.88499999999999,795.5849999999998
6,stocks,128,139.36375,-11.36375000000001,215.9112500000002
7,stocks,160,145.38875,14.611250000000013,263.0025000000002
8,stocks,158,145.98,12.02000000000001,516.8600000000005
9,stocks,113,149.59125,-36.59125,1719.7887500000002
10,stocks,108,155.0425,-47.04249999999999,-1270.1474999999998
11,stocks,135,130.65,4.349999999999994,-508.94999999999936
12,stocks,124,133.70625,-9.706250000000011,640.6125000000008
13,stocks,154,134.6275,19.372500000000002,0.0
14,stocks,122,152.26375,-30.263749999999987,605.2749999999997
15,stocks,188,164.30125,23.69874999999999,1256.0337499999994
16,stocks,166,149.215,16.784999999999997,1242.0899999999997
17,stocks,114,118.25125,-4.251249999999999,46.76374999999999
18,stocks,129,150.31375,-21.31375,809.9224999999999
19,stocks,137,133.665,3.335000000000008,100.05000000000024
20,stocks,136,142.3325,-6.33250000000001,-253.3000000000004
21,stocks,190,162.5225,27.477499999999992,-1099.0999999999997
22,stocks,158,153.02375,4.976249999999993,-44.78624999999994
23,stocks,177,151.8225,25.17750000000001,-1510.6500000000005
24,stocks,152,170.5575,-18.557500000000005,742.3000000000002
25,stocks,115,141.94125,-26.941249999999997,80.82374999999999
26,stocks,112,134.1425,-22.142500000000013,-907.8425000000005
27,stocks,107,148.35375,-41.35374999999999,3225.5924999999993
28,stocks,168,147.68625,20.31375,-934.4324999999999
29,stocks,136,154.095,-18.095,1284.745
30,stocks,116,137.55625,-21.556250000000006,-258.67500000000007
